Drive,Total Size,Free Size
C:\Users\Joe\Documents\code\drive_scraper,476.31 GB,475.75 GB
File,Size,%
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0f\2cce2d8f1b1ae9c175eca288381ed9cd90a2e3,2.77 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0f\8a6d1eec5f46f719c4cf1350530659f34c3c31,92.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\10\59e950e00022070511deb764247e328a359c47,651.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\10\a081d05b3e41b7344b43e34cd27086a852ccac,862.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\11\054bdee3f64804a7ad049f18308fffefeb5411,473.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\11\bb8d3c065102321afbcdf75a85d1e1a5d5f8e0,93.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\12\726639d94399a88ed43a3a477bf0064daed7ba,68.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\12\85b061e589757dfd7624424332f9e343dd5b6c,166.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\12\8a7d5876c621bedb100c533e49fb7a30eccbbb,97.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\13\4c305be97939cc976243c161c0d2683981401d,980.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\13\55832dac45631fcaf6dd6ba8bcce4f706f5967,137.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\13\ccd4f9cab6bf2636d7be7b2378baf16b3b6431,203.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\14\2fb64e39d00a73330b53020617de88933833ff,241.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\14\5499131a2e6defcc9a199e5819e2d05c0614a9,164.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\14\b29f3e706111e1152f4165a730599f814ece7a,47.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\15\0a83a5ed732e43dec9f81361f7a9478b78580e,781.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\15\5dc43a4d32e7f78412f43e9d189facbf4b7db1,129.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\15\d36b216c99ce7f27ab788468fd32e393478766,108.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\16\196182693f162909450df73ab0e6cc9611c1b5,179.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\16\34d3fd5416a6b09466b6ebe7a008562c976f23,284.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\16\4cfdd53bd6ddebeb8e6b88c9780e1339792973,219.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\16\740cc29f7ff5429bd1bf1e893a03dd5546a6db,593.0 B,0.0 %
